city,lat,lng
Thalang,8.0317,98.3341
Lat Lum Kaeo,14.0373,100.4049
Bang Lamung,12.9763,100.9141
Bang Khon Thi,13.4691,99.9402
Sathing Phra,7.473,100.4391
Wiang Nong Long,18.4204,98.7497
Nong Saeng,14.4921,100.7843
Ban Mo,14.6154,100.7273
Bang Pakong,13.543,100.9933
Don Tum,13.9609,100.0789
Yarang,6.7599,101.2934
Chulabhorn,8.076,99.8695
Kamphaeng Saen,13.9997,99.9898
Bang Pahan,14.4622,100.5448
San Sai,18.8479,99.0451
Pa Mok,14.4899,100.4485
Srinagarindra,7.5699,99.9435
Mae On,18.7768,99.2486
Panare,6.8619,101.491
Tha Chang,14.7614,100.3899
Ban Pho,13.5986,101.0796
Wang Noi,14.2269,100.7155
Mayo,6.7186,101.4098
Phra Phrom,8.3391,99.9009
Ban Thi,18.6319,99.1166
Bang Klam,7.0895,100.4107
Bacho,6.5168,101.651
Nikhom Phattana,12.8274,101.2027
Na Yai Am,12.7815,101.8226
Ko Chan,13.4166,101.3346
Chaloem Phra Kiat,14.6115,100.9082
Yi-ngo,6.403,101.7063
Khuan Niang,7.1914,100.3536
Sung Men,18.0494,100.1146
Khok Pho,6.7306,101.0962
Wihan Daeng,14.3459,100.9894
Changhan,16.1387,103.6039
Chaloem Phra Kiat,8.1769,100.0358
Laem Sing,12.4816,102.0738
Sawaeng Ha,14.7464,100.3294
Si Mahosot,13.8878,101.405
Ban Na,14.2624,101.0711
Chana,6.9154,100.7404
Cho-airong,6.2255,101.8113
Khai Bang Rachan,14.7998,100.3102
Khuan Khanun,7.7347,100.0093
Mae Lan,6.6611,101.2396
Mai Kaen,6.6098,101.6669
Sam Chuk,14.7576,100.0899
Sapphaya,15.1462,100.2421
Na Yong,7.5617,99.6948
Nong Ruea,16.4933,102.4334
La-ngu,6.8849,99.7884
Bang Pla Ma,14.396,100.1587
Bang Kaeo,7.4295,100.178
Na Mom,6.9586,100.5568
Chiang Khwan,16.1633,103.7536
Sankhaburi,15.0473,100.1618
Huai Rat,14.9604,103.1891
Phang Khon,17.3927,103.7084
Kapho,6.5597,101.5343
Na Tan,15.8975,105.2932
Si Somdet,15.998,103.4879
Manorom,15.31,100.0828
Phayu,14.9085,104.391
Chuen Chom,16.5549,103.1766
Thawat Buri,16.0385,103.7465
Raman,6.4786,101.4241
Doembang Nangbuat,14.8333,100.1
Chiang Yuen,16.4104,103.0977
Waeng,5.928,101.8838
Khlong Khuean,13.7913,101.1635
Doi Lo,18.461,98.7777
Pak Phayun,7.3519,100.3233
Phra Yuen,16.3293,102.6518
Kantharawichai,16.3272,103.2986
Nam Phong,16.7023,102.8557
Khwao Sinarin,15.0024,103.5915
Mae Lao,19.79,99.6997
Huai Thalaeng,14.997,102.6475
Ban Dan,15.1084,103.1755
Ban Fang,16.4533,102.6389
Don Mot Daeng,15.379,105.0279
Si Khoraphum,14.9442,103.797
Yan Ta Khao,7.3862,99.6669
Khong Chai,16.2602,103.4583
Khao Chaison,7.4612,100.1337
Samrong Thap,15.0226,103.9363
Khun Tan,19.8335,100.2586
Nong Muang Khai,18.2646,100.1897
Kong Krailat,16.952,99.9777
Pho Si Suwan,15.2293,104.0767
Fang,19.9169,99.2145
Su-ngai Padi,6.0857,101.8796
Thung Khao Luang,15.994,103.8626
Don Chedi,14.635,100.021
Phra Thong Kham,15.2669,102.0202
Phanom Phrai,15.6778,104.1102
Non Narai,15.2376,103.9133
Bueng Bun,15.3303,104.0449
Khao Wong,16.7001,104.0902
Bua Lai,15.6655,102.4988
At Samat,15.8431,103.8784
Thung Yang Daeng,6.6182,101.4265
Khao Chakan,13.6535,102.0883
Samrong,15.0078,104.7842
Chom Phra,15.1181,103.6074
Chaturaphak Phiman,15.8457,103.5572
Khlong Khlung,16.2163,99.7191
Kabin Buri,13.9511,101.7177
Nong Han,17.3608,103.1053
Plaeng Yao,13.5847,101.284
Laem Ngop,12.1717,102.3949
Yang Si Surat,15.6836,103.1031
Selaphum,16.0299,103.9383
Chum Phuang,15.3486,102.7416
Nong Hi,15.6112,103.9948
Lam Plai Mat,15.0252,102.8389
Wiang Chai,19.8836,99.9331
Khemarat,16.0425,105.2184
Rueso,6.3936,101.5185
Phrom Phiram,17.0335,100.2019
Chang Klang,8.3709,99.5625
Si Samrong,17.164,99.8622
Khueang Nai,15.3899,104.5508
Rattanaburi,15.3179,103.8486
Na Dun,15.7167,103.2278
Phan,19.554,99.7405
Krong Pi Nang,6.4112,101.2739
Krasang,14.9237,103.3037
Thepha,6.8294,100.9643
Khu Mueang,15.2716,103.0017
Phlapphla Chai,14.7301,103.1673
Ban Sang,13.995,101.2209
Kho Wang,15.37,104.3523
Na Pho,15.6411,102.9546
Tron,17.4818,100.1128
Khong,15.4439,102.3286
Ban Na Doem,8.8836,99.3101
Rattanawapi,18.2136,103.1797
Mueang Chan,15.1595,104.0361
Khok Si Suphan,17.0451,104.2756
Mueang Suang,15.8219,103.7288
Na Mon,16.5765,103.7871
Trakan Phut Phon,15.6118,105.0215
Nong Chang,15.3915,99.8415
Maha Chana Chai,15.5294,104.2385
Phunphin,9.1107,99.2321
Kut Khaopun,15.7927,104.9981
Khuan Don,6.7876,100.0778
Prasat,14.6404,103.4045
Na Khu,16.7638,104.0263
Kaeng Sanam Nang,15.7495,102.2548
Si Bun Rueang,16.9671,102.2761
Pho Chai,16.3283,103.7703
Ban Thaen,16.4051,102.3424
Pho Thale,16.0927,100.2609
Ko Kha,18.1923,99.3943
Kham Khuean Kaeo,15.6523,104.3086
Nong Yasai,14.7799,99.9107
Sa Khrai,17.6754,102.7507
Wang Muang,14.8423,101.1255
Sai Mun,15.9449,104.2081
Ratsada,7.9747,99.6335
Yang Chum Noi,15.2645,104.3977
Lam Thamen Chai,15.3535,102.918
Sak Lek,16.5053,100.471
Sam Ngam,16.5065,100.205
Banphot Phisai,15.9356,99.9813
Tha Phae,6.7901,99.9701
Chiang Saen,20.2751,100.0869
Mae Fa Luang,20.2663,99.7985
Pathum Rat,15.6345,103.3432
Kong Ra,7.4027,99.9497
Suwannakhuha,17.5629,102.2799
Lap Lae,17.6521,100.0389
Sai Ngam,16.4686,99.8884
Na Wang,17.3244,102.0783
Wang Chan,12.9365,101.523
Sahatsakhan,16.7124,103.5202
Ku Kaeo,17.1721,103.153
Sichon,8.9641,99.896
Nong Hong,14.8478,102.684
Chakkarat,15.0135,102.4129
Mueang Yang,15.4206,102.8928
Si Narong,14.7674,103.8739
Lao Suea Kok,15.4183,104.9236
Chaloem Phra Kiat,14.5584,102.9248
Chamni,14.7863,102.8228
Khao Suan Kwang,16.8589,102.8612
Thung Si Udom,14.733,104.909
Rasi Salai,15.3447,104.1548
Khok Pho Chai,16.0837,102.399
Phutthaisong,15.5478,103.0247
Wang Sai Phun,16.3886,100.5381
Kosamphi Nakhon,16.6313,99.3498
Doi Saket,18.8705,99.1367
Bueng Sam Phan,15.784,101.0072
Sila Lat,15.4716,104.0715
Wang Hin,14.9478,104.231
Krok Phra,15.5559,100.0715
So Phisai,18.0772,103.4432
Ongkharak,14.1212,101.0036
Tha Tum,15.3195,103.6754
Hat Samran,7.2403,99.5762
Phichai,17.2876,100.0867
Na Kae,16.9464,104.5008
Lamduan,14.722,103.6693
Pho Tak,17.8749,102.4041
Somdet,16.7046,103.7493
Pho Prathap Chang,16.3122,100.2735
Thap Sakae,11.4996,99.6217
Nong Bun Nak,14.7395,102.3656
Nam Kliang,14.9273,104.513
Takua Thung,8.3924,98.4519
Pakham,14.4382,102.7256
Kut Chum,16.0329,104.3394
Pa Phayom,7.8403,99.9177
